First name,Last name,Table,Side,RSVP,Meal,Donation,Thank You Sent,Street,Suite,"City, State",Country,Zip Code,Email Address
Francisco,Aaram,1,Bride,4,Beef,$50,In Progress,3700 Gilmore Way,,"Burnaby, BC",Canada,V5G 4M1,aaramfrancisco@email.com
Andre,Alarie,7,Groom,2,Beef,$500,Ready,160 Cote Rouge,,"Saint-Romuald, QC",Canada,G6W 5Y2,alarieandre@email.com
Tony,Allaire,7,Groom,2,Beef,$200,Ready,160 Cote Rouge,,"Saint-Romuald, QC",Canada,G6W 5Y2,allairetony@email.com
Christian,Allison,2,Bride,2,Beef,$200,Ready,1068 Glenashton Dr,,"Oakville, ON",Canada,L6H 4C1,allisonchristian@email.com
Michael,Alonso,5,Groom,1,Beef,$100,In Progress,1245 Glenashton Dr,,"Oakville, ON",Canada,L6H 4C1,alonsomichael@email.com
Vanel,Arbuthnot,2,Bride,5,Beef,$200,In Progress,90 Belfield Rd,,"Toronto, ON",Canada,M9W 1G4,arbuthnotvanel@email.com
Shellie,Beaudoin,4,Bride,2,Fish,$200,Not Yet Started,145 Jules Leger,,"Boucherville, QC",Canada,J4B 7K8,beaudoinshellie@email.com
Wally,Beaudoin,4,Bride,2,Fish,$100,Not Yet Started,145 Jules Leger,,"Boucherville, QC",Canada,J4B 7K8,beaudoinwally@email.com
Lester,Bechte,6,Bride,1,Beef,$300,In Progress,340 Saint Francois,,"Saint-Francois-de-la-Rivere-du-Sud, QC",Canada,G0R 3A0,bechtelester@email.com
Pierre,Belley,7,Bride,1,Beef,$100,In Progress,1250 rue Guy Bureau ,,"Montreal, QC",Canada,H3H 2T4,belleypierre@email.com
Brian,Bergkamp,6,Bride,1,Veggie,$200,Not Yet Started,153 Oakdale Rd,Unit 115,"North York, ON",Canada,M3N 1W2,bergkampbrian@email.com
Jan,Bickle,5,Groom,3,Chicken,"$2,000",Ready,816 Finley Ave,,"Ajax, ON",Canada,L1S 3Z4,bicklejan@email.com
Lee,Blackwell,3,Groom,2,Beef,$300,In Progress,25 Helmsdale Dr,,"Ottawa, ON",Canada,K2K 2S2,blackwelllee@email.com
Richard,Boswell,3,Groom,2,Beef,$0,Ready,30 Helmsdale Dr,,"Ottawa, ON",Canada,K2K 2S2,boswellrichard@email.com
Jean-Marc,Bowers,3,Groom,1,Beef,"$2,000",Ready,PO Box 1210,,"Walkerton, ON",Canada,N0G 2U0,bowersjean-marc@email.com
Bruce,Broker,8,Bride,4,Chicken,$200,Not Yet Started,3700 Gilmore Way,,"Burnaby, BC",Canada,V5G 4M1,brokerbruce@email.com
J Clark,Bruns,5,Groom,3,Beef,$250,Ready,135 Dundas St,,"Cambridge, ON",Canada,N1R 5X1,brunsj clark@email.com
Roger,Companys,4,Bride,4,Beef,$300,Ready,3700 Gilmore Way,,"Burnaby, BC",Canada,V5G 4M1,companysroger@email.com
Marie,Cook,8,Bride,1,Beef,$200,Ready,202-5288 Melbourne St,,"Vancouver, BC",Canada,V5R 6E6,cookmarie@email.com
